time_s	surface_excess_mol_m2	dynamic_surface_tension_N_m
108.0	4.0825457305735714e-07	71.89893172417109
108.5	4.093303372771806e-07	71.89892874769578
109.0	4.10404134560731e-07	71.89892577575037
109.5	4.114759778047624e-07	71.8989228083036
110.0	4.1254587975966426e-07	71.89891984532457
110.5	4.136138530317595e-07	71.89891688678273
111.0	4.146799100855969e-07	71.89891393264787
111.5	4.157440632461681e-07	71.89891098289016
112.0	4.1680632470109784e-07	71.89890803748004
112.5	4.178667065027649e-07	71.89890509638832
113.0	4.189252205704174e-07	71.89890215958616
113.5	4.199818786922279e-07	71.89889922704498
114.0	4.210366925273027e-07	71.89889629873656
114.5	4.2208967360764637e-07	71.89889337463299
115.0	4.231408333401015e-07	71.89889045470665
115.5	4.2419018300827294e-07	71.89888753893021
116.0	4.2523773377433894e-07	71.89888462727667
116.5	4.2628349668093043e-07	71.8988817197193
117.0	4.273274826528832e-07	71.89887881623166
117.5	4.283697024989963e-07	71.89887591678762
118.0	4.2941016691378227e-07	71.89887302136127
118.5	4.304488864791185e-07	71.89887012992703
119.0	4.314858716659478e-07	71.89886724245959
119.5	4.325211328358513e-07	71.89886435893388
120.0	4.3355468024268897e-07	71.89886147932508
120.5	4.3458652403414773e-07	71.89885860360869
121.0	4.3561667425327506e-07	71.8988557317604
121.5	4.3664514083999716e-07	71.8988528637562
122.0	4.376719336325835e-07	71.8988499995723
122.5	4.3869706236911866e-07	71.89884713918518
123.0	4.397205366889128e-07	71.89884428257153
123.5	4.407423661339148e-07	71.8988414297083
124.0	4.4176256015007187e-07	71.89883858057267
124.5	4.42781128088698e-07	71.89883573514204
125.0	4.4379807920778286e-07	71.89883289339406
125.5	4.448134226732978e-07	71.89883005530658
126.0	4.458271675604891e-07	71.8988272208577
126.5	4.4683932285510673e-07	71.89882439002571
127.0	4.478498974546646e-07	71.89882156278912
127.5	4.488589001696282e-07	71.8988187391267
128.0	4.498663397246393e-07	71.89881591901734
128.5	4.508722247596305e-07	71.89881310244022
129.0	4.518765638310403e-07	71.89881028937468
129.5	4.528793654128785e-07	71.89880747980027
130.0	4.5388063789789666e-07	71.89880467369676
130.5	4.548803895986217e-07	71.89880187104407
131.0	4.558786287484629e-07	71.89879907182235
131.5	4.568753635027633e-07	71.89879627601194
132.0	4.5787060193981145e-07	71.89879348359335
132.5	4.588643520618935e-07	71.89879069454729
133.0	4.5985662179625424e-07	71.89878790885464
133.5	4.608474189961265e-07	71.89878512649646
134.0	4.6183675144164915e-07	71.89878234745403
134.5	4.62824626840857e-07	71.89877957170873
135.0	4.638110528305907e-07	71.89877679924219
135.5	4.6479603697743065e-07	71.89877403003615
136.0	4.657795867786001e-07	71.89877126407256
136.5	4.6676170966284376e-07	71.89876850133354
137.0	4.67742412991313e-07	71.89876574180133
137.5	4.68721704058424e-07	71.89876298545839
138.0	4.696995900926962e-07	71.89876023228727
138.5	4.7067607825759896e-07	71.89875748227078
139.0	4.7165117565235645e-07	71.89875473539178
139.5	4.726248893127624e-07	71.89875199163335
140.0	4.735972262119682e-07	71.8987492509787
140.5	4.745681932612706e-07	71.89874651341121
141.0	4.755377973108625e-07	71.89874377891438
141.5	4.765060451506173e-07	71.89874104747187
142.0	4.77472943510788e-07	71.8987383190675
142.5	4.784384990627953e-07	71.89873559368523
143.0	4.794027184198951e-07	71.89873287130914
143.5	4.803656081379232e-07	71.89873015192344
144.0	4.813271747159734e-07	71.89872743551254
144.5	4.82287424597094e-07	71.89872472206093
145.0	4.832463641689549e-07	71.89872201155326
145.5	4.842039997645283e-07	71.8987193039743
146.0	4.851603376627331e-07	71.89871659930897
